Site,Dist,Site Name,Start,End,Latitude,Longitude,Source,State,Height,Bar Height,WMO
1000,1,KARUNJIE,1940,1983,-16.2919,127.1956,....., WA,320,       ..,     ..
1001,1,OOMBULGURRI,1914,2012,-15.1806,127.8456,GPS, WA,2,       ..,     ..
1002,1,BEVERLEY SP,1959,1967,-16.5825,125.4828,....., WA,         ..,       ..,     ..
1003,1,PAGO MISSION,1908,1940,-14.1331,126.7158,....., WA,5,24.4,     ..
1004,1,KUNMUNYA,1915,1948,-15.4167,124.7167,....., WA,47,       ..,     ..
1005,1,WYNDHAM PORT,1886,1995,-15.4644,128.1,....., WA,20,       ..,     ..
1006,1,WYNDHAM AERO,1951,  ..,-15.51,128.1503,GPS, WA,3.8,4.3,95214
1007,1,TROUGHTON ISLAND,1956,  ..,-13.7542,126.1485,GPS, WA,6,8,94102
1008,1,MOUNT ELIZABETH OLD SITE,1959,1978,-16.3017,126.1825,....., WA,640,       ..,     ..
1009,1,KURI BAY,1961,2012,-15.4875,124.5222,GPS, WA,12,17,     ..
1010,1,THEDA,1965,  ..,-14.7883,126.4964,GPS, WA,210,       ..,     ..
1011,1,PANTA DOWNS,1966,1969,-16.0497,124.95,....., WA,         ..,       ..,     ..
1012,1,MITCHELL PLATEAU,1968,2002,-14.7925,125.8258,GPS, WA,315,269,     ..
1013,1,WYNDHAM,1968,  ..,-15.4869,128.1236,GPS, WA,11,       ..,     ..
1014,1,EMMA GORGE,1998,  ..,-15.9083,128.1286,....., WA,130,       ..,     ..
1015,1,KING RIVER PUMPING STN,1923,1931,-15.6,128.0833,....., WA,         ..,       ..,     ..
1016,1,CARSON RIVER STATION,1970,1997,-14.4861,126.7664,....., WA,59,       ..,     ..
1017,1,NULLA NULLA,1923,1926,-15.5,127.8333,....., WA,         ..,       ..,     ..
1018,1,MOUNT ELIZABETH,1973,  ..,-16.4181,126.1025,GPS, WA,546,547,94211
1019,1,KALUMBURU,1997,  ..,-14.2964,126.6453,GPS, WA,23,24,94100
1020,1,TRUSCOTT,1944,  ..,-14.09,126.3867,GPS, WA,51,52.5,95101
1021,1,KALUMBURU MISSION,1941,2005,-14.2961,126.6431,GPS, WA,23,24,     ..
